ticker,year,month_name,sentiment,news_count,avg_daily_return
NXPI,2020,March,negative,2,5.569999694824219
ODFL,2015,January,positive,2,-0.5533332824707031
ODFL,2017,December,negative,2,-0.133331298828125
ODFL,2017,March,neutral,2,0.11999893188477273
ODFL,2018,April,neutral,2,0.38666534423828125
ODFL,2020,December,neutral,2,-5.709991455078125
ODFL,2020,May,positive,2,-3.160003662109375
ODFL,2020,September,neutral,2,-5.0800018310546875
ODFL,2021,July,neutral,2,-1.529998779296875
ODFL,2021,March,neutral,2,-0.57000732421875
ODFL,2021,March,negative,2,2.210006713867159
OKE,2011,November,neutral,2,0.23638534545898438
OKE,2013,April,positive,2,0.7091560363769531
OKE,2015,December,neutral,2,0.12999916076660156
OKE,2015,May,neutral,2,-0.8500022888183594
OKE,2019,February,neutral,2,0.43000030517578125
OKE,2019,November,neutral,2,0.55999755859375
OKE,2019,September,negative,2,-0.14000701904296875
OKE,2020,April,positive,2,0.07999992370605469
OKE,2020,March,negative,2,-0.470001220703125
OKE,2020,March,neutral,2,-3.8500022888183523
ORLY,2008,August,neutral,2,-0.610000610351566
ORLY,2008,August,negative,2,-0.610000610351566
ORLY,2008,December,positive,2,-0.5799999237060547
ORLY,2012,March,neutral,2,0.410003662109375
ORLY,2022,June,neutral,2,-3.21002197265625
ORLY,2022,November,negative,2,19.29998779296875
PAYX,2018,May,positive,2,0.12999725341796875
PAYX,2019,June,negative,4,-2.25
PAYX,2019,October,neutral,2,0.5499954223632812
PAYX,2019,October,positive,2,0.5499954223632812
PAYX,2020,August,neutral,2,0.1699981689453125
PCAR,2016,August,negative,2,-0.43000030517579546
PCAR,2016,February,negative,2,-0.1699981689453125
PCAR,2017,April,negative,2,0.8799972534179688
PCAR,2017,February,neutral,2,1.1699981689453125
PCAR,2017,June,negative,2,-0.2299957275390625
PCAR,2017,March,negative,2,-0.05999755859375
PCAR,2017,May,negative,2,-0.1100006103515625
PCAR,2017,November,neutral,2,-0.5199966430664062
PCAR,2021,October,neutral,2,0.20999908447265625
PCAR,2022,January,negative,2,-0.9700012207031108
PODD,2017,December,positive,2,-0.6699981689453125
PODD,2017,March,positive,2,-0.060001373291015625
PODD,2022,May,positive,4,0.8300018310546875
PODD,2022,May,neutral,2,0.8300018310546875
PODD,2022,October,neutral,2,-15.520004272460938
POOL,2015,May,positive,2,0.839996337890625
POOL,2017,June,neutral,2,0.879997253417983
POOL,2018,February,neutral,2,1.980003356933608
POOL,2018,June,positive,2,1.6399993896484375
POOL,2020,August,neutral,2,-0.1099853515625
POOL,2021,May,positive,2,2.799987792968693
POOL,2022,December,negative,2,-2.899993896484375
PPG,2016,October,positive,2,-3.459999084472642
PPG,2017,May,negative,2,-1.3199996948242188
PPG,2018,October,negative,4,-1.545001983642571
PPG,2018,October,neutral,2,-1.5100021362304545
PPG,2021,April,neutral,2,1.7599945068359375
PPG,2022,June,positive,2,1.1800003051757812
PPG,2022,March,negative,2,0.209991455078125
PPG,2022,November,positive,2,-3.970001220703125
PPG,2022,September,negative,2,1.3800048828125284
PTC,2014,January,negative,2,-0.20999908447265625
PTC,2014,June,negative,2,0.1100006103515625
PTC,2014,November,neutral,2,0.2999992370605469
PTC,2015,April,neutral,2,-0.07999801635742188
PTC,2015,January,neutral,2,0.5799980163574219
PTC,2015,October,negative,2,-0.030002593994140625
PTC,2015,October,positive,2,0.5699996948242188
PTC,2015,September,neutral,2,0.14999771118164062
PTC,2019,July,negative,2,-0.9000015258789062
PTC,2021,May,neutral,2,0.21999359130857954
QRVO,2018,July,negative,2,2.30999755859375
QRVO,2019,February,neutral,2,3.700000762939453
QRVO,2019,January,positive,2,-2.3100013732910156
QRVO,2019,July,positive,2,-0.75
QRVO,2019,May,neutral,2,-0.6699981689453125
QRVO,2021,May,neutral,2,2.3000030517578125
QRVO,2022,July,negative,4,0.8250007629394531
REGN,2020,December,positive,2,5.29998779296875
REGN,2020,June,negative,2,-24.84002685546875
REGN,2020,March,negative,4,-6.544998168945284
REGN,2020,March,positive,2,6.829986572265682
REGN,2020,November,neutral,2,-6.19000244140625
REGN,2020,October,neutral,2,-14.77001953125
REGN,2020,October,positive,2,-9.6500244140625
REGN,2021,January,negative,2,-14.80999755859375
REGN,2021,November,neutral,2,-9.58001708984375
ROST,2013,April,neutral,2,0.2800006866455078
ROST,2013,August,negative,2,0.5499992370605469
ROST,2013,November,neutral,2,0.68499755859375
ROST,2014,November,negative,2,0.005001068115234375
ROST,2015,November,positive,2,1.19000244140625
ROST,2021,May,negative,2,-2.149993896484361
ROST,2021,May,positive,2,-1.489997863769517
SBAC,2007,May,positive,2,0.9799995422363246
SBAC,2008,July,neutral,2,0.029998779296882105
SBAC,2009,December,neutral,2,0.5100021362304688
SBAC,2009,October,positive,2,-1.0100002288818395
SBAC,2009,October,neutral,2,0.14999961853026988
SBAC,2009,September,neutral,2,0.32999992370605824
SBAC,2010,April,neutral,2,-0.279998779296875
SBAC,2010,January,positive,2,-0.01000213623046875
SBAC,2013,October,positive,2,1.5799942016601562
SBAC,2015,May,negative,2,-0.37999725341798296
STLD,2008,June,neutral,2,0.970001220703125
STLD,2008,June,positive,2,0.31999969482421875
STLD,2010,April,positive,2,0.5400009155273438
STLD,2021,August,negative,2,1.8499984741210938
STLD,2021,November,negative,2,-0.529998779296875
STLD,2022,August,negative,2,-0.15999603271484375
STLD,2022,May,neutral,2,3.0999984741210938
STX,2010,July,neutral,2,-1.4699993133544922
STX,2010,October,neutral,2,0.009999275207521308
STX,2012,March,positive,2,0.0699996948242152
STX,2012,October,positive,2,-0.15999984741211293
STX,2012,October,negative,2,0.8299999237060547
STX,2012,October,neutral,2,-0.12999916076660156
STX,2014,July,neutral,2,-1.1399993896484375
STX,2014,October,neutral,2,1.0400009155273438
STX,2015,January,neutral,2,0.14000320434570312
SWKS,2009,April,positive,2,0.3100004196166992
SWKS,2009,December,positive,2,-0.2799997329711914
SWKS,2009,March,negative,2,0.059999942779541016
SWKS,2010,October,positive,2,0.6599998474121094
SWKS,2012,November,neutral,2,-0.31999969482421875
SWKS,2012,October,neutral,2,0.21999931335449574
